QB X,QB Y,QB_R X,QB_R Y
0,1.099919197446799,0,1.099919192902044
0.011,1.099894886569287,0.011,1.09989488204038
0.022,1.099862475712184,0.022,1.099862471168316
0.033,1.099819387464667,0.033,1.09981938290756
0.044,1.099762290182011,0.044,1.099762285614139
0.05500000000000001,1.099686893907101,0.05500000000000001,1.099686889331936
0.066,1.099587704272222,0.066,1.099587699694546
0.077,1.099457725226146,0.077,1.099457720652458
0.08799999999999999,1.099288101652691,0.08799999999999999,1.099288097091743
0.09899999999999999,1.099067693717575,0.09899999999999999,1.099067689181068
0.11,1.098782576146104,0.11,1.098782571649618
0.121,1.098415459379384,0.121,1.098415454943608
0.132,1.097945037349774,0.132,1.097945033002178
0.143,1.097345280097623,0.143,1.097345275874726
0.154,1.096584709410435,0.154,1.096584705360956
0.165,1.095625720681725,0.165,1.095625716870973
0.176,1.094424039179398,0.176,1.094424035695517
0.187,1.092928414527685,0.187,1.092928411490622
0.198,1.091080651224221,0.198,1.091080648798809
0.209,1.088816034502272,0.209,1.088816032917575
0.2200000000000001,1.08606413621195,0.2200000000000001,1.086064135790325
0.2310000000000001,1.082749883434506,0.2310000000000001,1.082749884635992
0.2420000000000001,1.078794664610357,0.2420000000000001,1.078794668101975
0.2530000000000001,1.074117160916785,0.2530000000000001,1.074117167684288
0.2640000000000001,1.06863354448332,0.2640000000000001,1.068633556019204
0.2750000000000001,1.062256681031988,0.2750000000000001,1.062256699668944
0.2860000000000001,1.054893989662638,0.2860000000000001,1.054894019197936
0.2970000000000001,1.046443601442161,0.2970000000000001,1.046443648364242
0.3080000000000001,1.036788356876597,0.3080000000000001,1.036788432880916
0.3190000000000001,1.025786899320048,0.3190000000000001,1.025787026731327
0.3300000000000001,1.013260501149079,0.3300000000000001,1.013260725379493
0.3410000000000001,0.9989729700361312,0.3410000000000001,0.9989733905746626
0.3520000000000001,0.982599714814509,0.3520000000000001,0.9826005700545497
0.3630000000000002,0.9636927245684693,0.3630000000000002,0.9636946516808936
0.3740000000000002,0.9415437560956509,0.3740000000000002,0.9415487211312726
0.3850000000000002,0.91494849138026,0.3850000000000002,0.9149638801797313
0.3960000000000002,0.8816086780622738,0.3960000000000002,0.8816714493587874
0.4070000000000002,0.8366592290939511,0.4070000000000002,0.8370494756611314
0.4180000000000002,0.7724419692490682,0.4180000000000002,0.7761909715885341
0.4290000000000002,0.6889460859817172,0.4290000000000002,0.7147822363369319
0.4400000000000002,0.5952848772457978,0.4400000000000002,0.6717830962826613
0.4510000000000002,0.4976041488770907,0.4510000000000002,0.6407546581912618
0.4620000000000002,0.3992719829800996,0.4620000000000002,0.6158079253687901
0.4730000000000003,0.3039551678837007,0.4730000000000003,0.5939975503807535
0.4840000000000003,0.2203479967910597,0.4840000000000003,0.5740817445030914
0.4950000000000003,0.1646998228443739,0.4950000000000003,0.5553929941611411
0.5060000000000002,0.1341747924264314,0.5060000000000002,0.5375452004823792
0.5170000000000002,0.1152447319620469,0.5170000000000002,0.5203042702977648
0.5280000000000002,0.101889038263686,0.5280000000000002,0.5035216601975071
0.5390000000000003,0.09148634907390213,0.5390000000000003,0.4871012902410637
0.5500000000000003,0.08298195409821246,0.5500000000000003,0.4709812084895582
0.5610000000000003,0.07579221655249774,0.5610000000000003,0.4551226034010906
0.5720000000000003,0.0695647822011681,0.5720000000000003,0.4395033921388443
0.5830000000000003,0.0640708329352643,0.5830000000000003,0.4241145240866267
0.5940000000000003,0.05915342287762063,0.5940000000000003,0.4089580959627174
0.6050000000000003,0.05470036680048609,0.6050000000000003,0.3940468012214929
0.6160000000000003,0.05062889983452583,0.6160000000000003,0.3794044601026085
0.6270000000000003,0.04687645310335533,0.6270000000000003,0.3650674572179716
0.6380000000000003,0.04339482805705682,0.6380000000000003,0.3510868268593081
0.6490000000000004,0.04014636773710844,0.6490000000000004,0.3375303764787339
0.6600000000000004,0.03710135680558548,0.6600000000000004,0.3244835099504683
0.6710000000000004,0.03423620793332072,0.6710000000000004,0.3120463961142081
0.6820000000000004,0.03153216703607376,0.6820000000000004,0.300324637943083
0.6930000000000004,0.02897437016618927,0.6930000000000004,0.2894124386822851
0.7040000000000004,0.02655114296770822,0.7040000000000004,0.2793725054163946
0.7150000000000004,0.02425346901720408,0.7150000000000004,0.270222127170493
0.7260000000000004,0.02207457527724516,0.7260000000000004,0.2619331417062594
0.7370000000000004,0.02000959672268985,0.7370000000000004,0.254444533742126
0.7480000000000004,0.0180552911260614,0.7480000000000004,0.2476793583499199
0.7590000000000005,0.01620978099002763,0.7590000000000005,0.2415585058574514
0.7700000000000005,0.01447230404459994,0.7700000000000005,0.2360087207025126
0.7810000000000005,0.01284295759711419,0.7810000000000005,0.2309658203490969
0.7920000000000005,0.01132242614589471,0.7920000000000005,0.226375020794137
0.8030000000000005,0.009911686678891788,0.8030000000000005,0.2221898958059498
0.8140000000000005,0.008611692367863178,0.8140000000000005,0.2183708768966215
0.8250000000000005,0.007423042942119636,0.8250000000000005,0.2148837470896437
0.8360000000000005,0.006345658329034575,0.8360000000000005,0.2116983255767237
0.8470000000000005,0.005378479944407238,0.8470000000000005,0.2087874146525476
0.8580000000000005,0.004519229435546833,0.8580000000000005,0.2061260222969933
0.8690000000000005,0.003764255568384601,0.8690000000000005,0.2036908453041769
0.8800000000000006,0.003108494548150384,0.8800000000000006,0.2014599803165822
0.8910000000000006,0.002545556890919776,0.8910000000000006,0.1994128169109141
0.9020000000000006,0.002067936542296936,0.9020000000000006,0.1975300577410753
