QB X,QB Y,QB_R X,QB_R Y
0,1.099824447903627,0,1.099824443592039
0.011,1.099771368410551,0.011,1.09977136413436
0.022,1.099701080776182,0.022,1.099701076512232
0.033,1.099608349814481,0.033,1.099608345572502
0.044,1.099486510076098,0.044,1.099486505869055
0.05500000000000001,1.099327118397031,0.05500000000000001,1.099327114242113
0.066,1.099119548225238,0.066,1.099119544145149
0.077,1.098850517814307,0.077,1.098850513838963
0.08799999999999999,1.098503549439825,0.08799999999999999,1.098503545608606
0.09899999999999999,1.098058365669086,0.09899999999999999,1.098058362033849
0.11,1.097490241820317,0.11,1.097490238449472
0.121,1.0967693531561,0.121,1.096769350140188
0.132,1.095860180211422,0.132,1.095860177670845
0.143,1.094721061443882,0.143,1.094721059539734
0.154,1.093304000159778,0.154,1.093303999109215
0.165,1.091554830134972,0.165,1.091554830233284
0.176,1.089413809929545,0.176,1.089413811582266
0.187,1.086816645066401,0.187,1.086816648836596
0.198,1.083695838382283,0.198,1.08369584506121
0.209,1.079982164275785,0.209,1.079982174990391
0.2200000000000001,1.075605981899797,0.2200000000000001,1.075605998280707
0.2310000000000001,1.070498069847073,0.2310000000000001,1.070498094301112
0.2420000000000001,1.064589687038683,0.2420000000000001,1.064589723211898
0.2530000000000001,1.057811625004628,0.2530000000000001,1.057811678608713
0.2640000000000001,1.050092081280437,0.2640000000000001,1.050092161632182
0.2750000000000001,1.041353210481612,0.2750000000000001,1.041353333471465
0.2860000000000001,1.031506157017549,0.2860000000000001,1.031506351039833
0.2970000000000001,1.02044419604662,0.2970000000000001,1.020444514395646
0.3080000000000001,1.008033236240153,0.3080000000000001,1.008033784540492
0.3190000000000001,0.9940982177570221,0.3190000000000001,0.994099218887875
0.3300000000000001,0.9784025047564102,0.3300000000000001,0.9784044651302033
0.3410000000000001,0.9606142738761974,0.3410000000000001,0.960618451486476
0.3520000000000001,0.9402484305007642,0.3520000000000001,0.9402583146399375
0.3630000000000002,0.9165753629625475,0.3630000000000002,0.9166020754509844
0.3740000000000002,0.8883163740914233,0.3740000000000002,0.8884027498284268
0.3850000000000002,0.8529892698800856,0.3850000000000002,0.85335013290144
0.3960000000000002,0.8057141261847552,0.3960000000000002,0.8078111365880121
