QB X,QB Y,QB_R X,QB_R Y
0,1.099812365662922,0,1.099812361004657
0.011,1.099754603739513,0.011,1.099754599116085
0.022,1.099678060678772,0.022,1.099678056066735
0.033,1.099576987997733,0.033,1.099576983408596
0.044,1.099444053743209,0.044,1.099444049192404
0.05500000000000001,1.099269953301383,0.05500000000000001,1.099269948809487
0.066,1.099042952973891,0.066,1.09904294856825
0.077,1.098748356641426,0.077,1.098748352358296
0.08799999999999999,1.098367891051492,0.08799999999999999,1.09836788693892
0.09899999999999999,1.097879014601723,0.09899999999999999,1.097879010723443
0.11,1.097254168400085,0.11,1.097254164840862
0.121,1.096460009124966,0.121,1.096460005998024
0.132,1.095456689838882,0.132,1.095456687296371
0.143,1.094197282450579,0.143,1.094197280698515
0.154,1.092627454075855,0.154,1.092627453395767
0.165,1.090685505496823,0.165,1.09068550627754
0.176,1.088302840326384,0.176,1.088302843111463
0.187,1.085404853082037,0.187,1.085404858641537
0.198,1.081912111924046,0.198,1.08191212136527
0.209,1.077741591064886,0.209,1.077741606007361
0.2200000000000001,1.072807609899134,0.2200000000000001,1.072807632761197
0.2310000000000001,1.067022084704869,0.2310000000000001,1.067022119195347
0.2420000000000001,1.060293696815361,0.2420000000000001,1.060293748824804
0.2530000000000001,1.052525602688272,0.2530000000000001,1.052525681993112
0.2640000000000001,1.043611304807032,0.2640000000000001,1.043611428480631
0.2750000000000001,1.033428195288806,0.2750000000000001,1.03342839483086
0.2860000000000001,1.021827975110676,0.2860000000000001,1.021828312157792
0.2970000000000001,1.008622467768665,0.2970000000000001,1.008623071136419
0.3080000000000001,0.9935619141587338,0.3080000000000001,0.9935630746631362
0.3190000000000001,0.9762997222884877,0.3190000000000001,0.9763021607091962
0.3300000000000001,0.956330244717175,0.3300000000000001,0.9563359674072552
0.3410000000000001,0.9328663358301807,0.3410000000000001,0.9328818303299159
0.3520000000000001,0.9045661602996824,0.3520000000000001,0.9046171321042857
0.3630000000000002,0.8688703875264394,0.3630000000000002,0.8690926733332809
0.3740000000000002,0.8204104879268066,0.3740000000000002,0.8218475985607314
0.3850000000000002,0.7521465832787415,0.3850000000000002,0.7634797312550919
0.3960000000000002,0.6665375480063183,0.3960000000000002,0.7141604615024758
0.4070000000000002,0.572518347726568,0.4070000000000002,0.6793337476551442
0.4180000000000002,0.4752467096642908,0.4180000000000002,0.652399277373645
0.4290000000000002,0.3777979558451911,0.4290000000000002,0.6296260143624879
0.4400000000000002,0.284035088844429,0.4400000000000002,0.6091812047927451
0.4510000000000002,0.2039613925837398,0.4510000000000002,0.5901954071719971
0.4620000000000002,0.1529304983879842,0.4620000000000002,0.5721792291440116
0.4730000000000003,0.1252417481203987,0.4730000000000003,0.5548429455439043
0.4840000000000003,0.1078075451031865,0.4840000000000003,0.5380047647695133
0.4950000000000003,0.09537432381525852,0.4950000000000003,0.5215480113442524
0.5060000000000002,0.08565316089218375,0.5060000000000002,0.5053965225696521
0.5170000000000002,0.07768987087750905,0.5170000000000002,0.48950088908554
0.5280000000000002,0.07095094606687281,0.5280000000000002,0.4738300319384326
0.5390000000000003,0.06511132508664014,0.5390000000000003,0.4583661404201422
0.5500000000000003,0.05995856246616829,0.5500000000000003,0.4431016594963897
0.5610000000000003,0.05534632183086984,0.5610000000000003,0.4280376565574271
0.5720000000000003,0.05116971703304661,0.5720000000000003,0.4131832037702268
0.5830000000000003,0.04735124313765851,0.5830000000000003,0.398555586952656
0.5940000000000003,0.04383226058714616,0.5940000000000003,0.384181245936988
0.6050000000000003,0.04056758880377186,0.6050000000000003,0.3700973685272143
0.6160000000000003,0.03752193811567752,0.6160000000000003,0.3563539613385348
0.6270000000000003,0.03466747834130322,0.6270000000000003,0.3430159209172913
0.6380000000000003,0.03198213782290869,0.6380000000000003,0.3301640280295823
0.6490000000000004,0.02944838578951418,0.6490000000000004,0.3178929346143726
0.6600000000000004,0.02705234307499233,0.6600000000000004,0.3063036837137865
0.6710000000000004,0.02478311967923474,0.6710000000000004,0.2954894896683255
0.6820000000000004,0.02263231044299839,0.6820000000000004,0.2855175540457321
0.6930000000000004,0.02059360048232382,0.6930000000000004,0.2764145514033641
0.7040000000000004,0.01866244497794523,0.7040000000000004,0.2681634890374162
0.7150000000000004,0.0168357963450982,0.7150000000000004,0.2607128630337236
0.7260000000000004,0.01511185754481918,0.7260000000000004,0.2539918143193461
0.7370000000000004,0.01348984457999313,0.7370000000000004,0.2479239548685628
0.7480000000000004,0.01196974496721133,0.7480000000000004,0.2424363155720956
0.7590000000000005,0.01055206290955212,0.7590000000000005,0.2374635372175279
0.7700000000000005,0.009237546560885788,0.7700000000000005,0.2329488939266801
0.7810000000000005,0.008026898482725919,0.7810000000000005,0.2288436752571216
0.7920000000000005,0.0069204771154102,0.7920000000000005,0.2251059285487786
0.8030000000000005,0.00591800429677068,0.8030000000000005,0.2216991015578969
0.8140000000000005,0.005018300472255522,0.8140000000000005,0.2185908366711661
0.8250000000000005,0.004219073651567508,0.8250000000000005,0.2157520129349596
0.8360000000000005,0.003516788579949313,0.8360000000000005,0.2131560540272098
0.8470000000000005,0.002906637586384335,0.8470000000000005,0.2107784804150101
0.8580000000000005,0.002382623825755565,0.8580000000000005,0.2085966622761521
0.8690000000000005,0.001937752501987561,0.8690000000000005,0.2065897183560402
0.8800000000000006,0.001564309224257242,0.8800000000000006,0.2047385027276255
0.8910000000000006,0.001254190997154733,0.8910000000000006,0.2030256260215609
0.9020000000000006,0.0009992482190174306,0.9020000000000006,0.2014354689611758
