:pwr X,:pwr Y
0,1.020542610205861
2e-09,1.020542610207188
2.0625e-09,1.020558469450645
2.160414943110135e-09,1.020732951350162
2.209372414665202e-09,1.021012583778832
2.289481010035371e-09,1.021866337879736
2.356543688963941e-09,1.022838745960171
2.405498328833757e-09,1.023589857355894
2.459675801122991e-09,1.024332452777707
2.469468041802033e-09,1.024433452240339
2.474364162141554e-09,1.024478151636256
2.484156402820595e-09,1.024565767679091
2.490099636635771e-09,1.024629157358813
2.495809235090589e-09,1.024703679006608
2.502357567108876e-09,1.024752534473196
2.507478104610922e-09,1.024605582636208
2.512356426323115e-09,1.024059282003459
2.51583809302455e-09,1.023237670931394
2.517929315736547e-09,1.02260100213374
2.520290168301048e-09,1.021765409136329
2.522634442173203e-09,1.020729263241404
2.525131591326826e-09,1.019536518316317
2.527799711060088e-09,1.018422876347154
2.530899286117794e-09,1.017498133016065
2.53404936188334e-09,1.016947694460437
2.53867035866795e-09,1.016545026536062
2.542770737731348e-09,1.016326715138231
2.547104686229396e-09,1.015651611494603
2.550588867470522e-09,1.013114609559023
2.553393223936836e-09,1.008109762624879
2.55501836465138e-09,1.004976745740301
2.556708631124556e-09,1.002770682092176
2.558628676581845e-09,1.00146997431022
2.560609830028868e-09,1.000893132039938
2.562844743453416e-09,1.000699445218191
2.565693801616193e-09,1.000742202061772
2.568524223435077e-09,1.000893147507859
2.57170346614705e-09,1.001088610024963
2.575350575801927e-09,1.001298115947674
2.578716306071137e-09,1.001566827242115
2.582070353677257e-09,1.002135814099675
2.583855774989255e-09,1.002563393860666
2.585757206831632e-09,1.002982677131142
2.587227003808425e-09,1.00324018482725
2.588663961610021e-09,1.003428709138059
2.589777780182173e-09,1.00352189131702
2.590766550215962e-09,1.003581378848384
2.591648302677319e-09,1.00360604728786
2.592340160737826e-09,1.003598105839432
2.593061506160923e-09,1.003567315399595
2.593749520188739e-09,1.00351709575185
2.594563162047788e-09,1.003431322856015
2.595384374475901e-09,1.003317413287193
2.596334637116536e-09,1.003155840662345
2.597486730369101e-09,1.002922741492885
2.598720336730238e-09,1.002664319098957
2.599791709882325e-09,1.002487110101349
2.600894511345428e-09,1.002342293454161
2.60205262771941e-09,1.002176392800095
2.603277935993941e-09,1.001939862576098
2.604472003875633e-09,1.001680294982353
2.605360547037925e-09,1.001515165741956
2.60637444704604e-09,1.001386393630411
2.607332859726024e-09,1.001319231732941
2.608407612930026e-09,1.001295706748224
2.609571684569513e-09,1.001318800057035
2.611271101696181e-09,1.001417170776341
2.613322710554159e-09,1.001603128404813
2.615625033111896e-09,1.001850853025685
2.618218318861692e-09,1.002147513655239
2.621028398376256e-09,1.002483303194136
2.623753630777988e-09,1.002817209955267
2.626721223307893e-09,1.003173303694198
2.631129428859236e-09,1.003634937665766
2.635605126687078e-09,1.003994458308431
2.640609029551511e-09,1.004264701790304
2.645786757320503e-09,1.004456307731784
2.650888076783527e-09,1.00468503351631
2.654492414306537e-09,1.004967912051173
2.657938375800431e-09,1.005224140797992
2.661191372058747e-09,1.005296108210775
2.664199734519431e-09,1.005098705096848
2.665732873107207e-09,1.004928381992954
2.667538180550304e-09,1.004653310240995
2.668982465537616e-09,1.004313987926659
2.670553393416836e-09,1.003926530081864
2.67201515114801e-09,1.003577903014433
2.673635190555515e-09,1.003194174636448
2.675461972283981e-09,1.00274695606377
2.677779943052985e-09,1.002176487697038
2.680323507286804e-09,1.001578496860886
2.683309741296361e-09,1.000880149018037
2.686108289801355e-09,1.000255942174088
2.689204462176837e-09,0.9996529999461814
2.692039808028692e-09,0.9991942886105187
2.695737302662125e-09,0.9987151365455587
2.700589445072293e-09,0.9982448416354673
2.705593387047724e-09,0.9978957362870096
2.711064877914814e-09,0.9976231699756698
2.71711131155837e-09,0.9974109405888673
2.724264176701418e-09,0.9972357893501931
2.732987175932283e-09,0.9970868553167009
2.74389694124318e-09,0.9969546726965227
2.757717589751876e-09,0.9968332390266336
2.775814751297208e-09,0.9967183999089111
2.800010144792268e-09,0.9966141364352827
2.82808565984466e-09,0.9965402578093912
2.859973446659851e-09,0.996494721319147
2.897817590193686e-09,0.9964679362708727
2.946299668915236e-09,0.9964302050635646
